ts,ls
1.6692470046442954e+18,-33.14878463745117
1.6692470054857375e+18,-33.84872055053711
1.6692470226016666e+18,-41.994388580322266
1.6692470250514962e+18,-43.91453170776367
1.6692470271432532e+18,-45.975563049316406
1.6692470472174502e+18,-54.97470474243164
1.6692470493257047e+18,-56.93930435180664
1.6692470641001884e+18,-62.08136367797852
1.6692470653668728e+18,-62.95869827270508
1.6692470926241196e+18,-79.0451431274414
1.6692471102566308e+18,-82.91615295410156
1.669247111606404e+18,-84.05057525634766
1.669247131839152e+18,-90.0
1.6692471641879327e+18,-102.04700469970705
1.6692471676295086e+18,-104.95355987548828
1.6692471688709617e+18,-106.15019989013672
1.6692471711544632e+18,-107.9734344482422
1.669247191011912e+18,-116.86382293701172
1.66924721449487e+18,-125.95560455322266
